,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,St. Lawrence,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
34,12203,14846,,13902,14770,,14775,,,,12541,,13804,12592,14102,12993,,,,12470,,,13665,11236,,,,14608,,11547,10036,,13425,13138,,10988,,,13809,,11373,,,,,,,,,14877,13666,11742,12759,,,12472,,,,10546,,
35,12204,14880,,13903,14772,,14781,,,,12544,,13806,12594,14110,12996,,,,12473,,,13671,11237,,,,14609,,11548,10037,,13431,13141,,10990,,,13810,,11374,,,,,,,,,14879,13667,11743,12760,,,12475,,,,10547,,
36,12205,14884,,13904,14778,,14782,,,,12546,,13820,12601,14111,12997,,,,12477,,,13673,11238,,,,14610,,11549,10038,,13435,13152,,10992,,,13820,,11375,,,,,,,,,14885,13668,11746,12762,,,12477,,,,10548,,
37,12206,14895,,13905,14779,,14784,,,,12565,,13825,12602,14112,12998,,,,12480,,,13674,11239,,,,14611,,11550,10039,,13438,13153,,10996,,,13825,,11377,,,,,,,,,14897,13669,11747,12763,,,12480,,,,10549,,
38,12207,14897,,,14783,,14785,,,,12567,,13838,12603,14127,,,,,12482,,,13675,11241,,,,14612,,11551,10040,,13440,13158,,10997,,,13834,,11378,,,,,,,,,14898,13670,11749,12764,,,12481,,,,10550,,
39,12208,,,,14788,,14787,,,,12571,,13839,12604,14134,,,,,12485,,,13679,11242,,,,14613,,11552,10041,,13441,13159,,10998,,,13838,,11379,,,,,,,,,,13672,11750,12765,,,12483,,,,10551,,
40,12209,,,,,,,,,,12583,,13842,,14139,,,,,12492,,,13682,11243,,,,14614,,11553,10043,,13442,13164,,12518,,,13843,,11380,,,,,,,,,,13676,11751,12766,,,12484,,,,10552,,
41,12210,,,,,,,,,,,,13846,,14140,,,,,12495,,,13685,11245,,,,14615,,11554,10044,,13455,13166,,12520,,,13849,,11381,,,,,,,,,,13677,11752,12767,,,12486,,,,10553,,
42,12211,,,,,,,,,,,,13847,,14141,,,,,12496,,,13691,11247,,,,14616,,11555,10045,,13456,13201,,12542,,,13859,,11385,,,,,,,,,,13678,11754,12768,,,12487,,,,10557,,
43,12212,,,,,,,,,,,,13849,,14145,,,,,,,,13692,11249,,,,14617,,11556,10047,,13461,13202,,12543,,,13861,,11386,,,,,,,,,,13679,11755,12769,,,12489,,,,10558,,
44,12220,,,,,,,,,,,,13856,,14150,,,,,,,,13693,11251,,,,14618,,11557,10048,,13469,13203,,12549,,,,,11405,,,,,,,,,,13680,11757,12770,,,12490,,,,10560,,
45,12222,,,,,,,,,,,,13860,,14151,,,,,,,,,11252,,,,14619,,11558,10055,,13471,13204,,12550,,,,,11411,,,,,,,,,,13681,11758,12775,,,12491,,,,10562,,
46,12223,,,,,,,,,,,,,,14169,,,,,,,,,11256,,,,14620,,11559,10065,,13476,13205,,12551,,,,,11412,,,,,,,,,,13684,11760,12776,,,12493,,,,10566,,
47,12224,,,,,,,,,,,,,,14170,,,,,,,,,11693,,,,14621,,11560,10069,,13477,13206,,12552,,,,,11413,,,,,,,,,,13687,11763,12777,,,12494,,,,10567,,
48,12226,,,,,,,,,,,,,,14201,,,,,,,,,,,,,14622,,11561,10072,,13478,13207,,12553,,,,,11414,,,,,,,,,,13690,11764,12778,,,12495,,,,10570,,
49,12227,,,,,,,,,,,,,,14202,,,,,,,,,,,,,14623,,11563,10075,,13479,13208,,12555,,,,,11415,,,,,,,,,,13694,11766,12779,,,12498,,,,10571,,
50,12228,,,,,,,,,,,,,,14203,,,,,,,,,,,,,14624,,11565,10080,,13480,13209,,12566,,,,,11416,,,,,,,,,,13695,11767,12780,,,12515,,,,10572,,
51,12229,,,,,,,,,,,,,,14204,,,,,,,,,,,,,14625,,11566,10081,,13483,13210,,12575,,,,,11417,,,,,,,,,,13696,11768,12781,,,12525,,,,10573,,
52,12230,,,,,,,,,,,,,,14205,,,,,,,,,,,,,14626,,11568,10082,,13486,13211,,12577,,,,,11418,,,,,,,,,,13697,11769,12783,,,12528,,,,10576,,
53,12231,,,,,,,,,,,,,,14206,,,,,,,,,,,,,14627,,11569,10087,,13490,13212,,12584,,,,,11419,,,,,,,,,,13699,11770,12784,,,12542,,,,10577,,
54,12232,,,,,,,,,,,,,,14207,,,,,,,,,,,,,14638,,11570,10101,,13492,13214,,12586,,,,,11420,,,,,,,,,,,11772,12786,,,12547,,,,10578,,
55,12233,,,,,,,,,,,,,,14208,,,,,,,,,,,,,14639,,11571,10102,,13494,13215,,12589,,,,,11421,,,,,,,,,,,11775,12787,,,12548,,,,10579,,
56,12234,,,,,,,,,,,,,,14209,,,,,,,,,,,,,14642,,11572,10103,,13495,13217,,12721,,,,,11422,,,,,,,,,,,11776,12788,,,12561,,,,10580,,
57,12235,,,,,,,,,,,,,,14210,,,,,,,,,,,,,14643,,11575,10104,,13501,13218,,12729,,,,,11423,,,,,,,,,,,11777,12789,,,12566,,,,10583,,
58,12236,,,,,,,,,,,,,,14211,,,,,,,,,,,,,14644,,11576,10105,,13502,13219,,12746,,,,,11424,,,,,,,,,,,11778,12790,,,12568,,,,10587,,
59,12237,,,,,,,,,,,,,,14212,,,,,,,,,,,,,14645,,11577,10106,,13503,13220,,12771,,,,,11425,,,,,,,,,,,11779,12791,,,12586,,,,10588,,
60,12238,,,,,,,,,,,,,,14213,,,,,,,,,,,,,14646,,11579,10107,,13504,13221,,12780,,,,,11426,,,,,,,,,,,11780,12792,,,12588,,,,10589,,
61,12239,,,,,,,,,,,,,,14214,,,,,,,,,,,,,14647,,11580,10108,,13505,13224,,12785,,,,,11427,,,,,,,,,,,11782,,,,12589,,,,10590,,
62,12240,,,,,,,,,,,,,,14215,,,,,,,,,,,,,14649,,11581,10109,,13599,13225,,,,,,,11428,,,,,,,,,,,11784,,,,12725,,,,10591,,
63,12241,,,,,,,,,,,,,,14216,,,,,,,,,,,,,14650,,11582,10110,,,13235,,,,,,,11429,,,,,,,,,,,11786,,,,12740,,,,10594,,
64,12242,,,,,,,,,,,,,,14217,,,,,,,,,,,,,14651,,11590,10111,,,13244,,,,,,,11430,,,,,,,,,,,11787,,,,12758,,,,10595,,
65,12243,,,,,,,,,,,,,,14218,,,,,,,,,,,,,14652,,11592,10112,,,13250,,,,,,,11431,,,,,,,,,,,11788,,,,12763,,,,10596,,
66,12244,,,,,,,,,,,,,,14219,,,,,,,,,,,,,14653,,11594,10113,,,13251,,,,,,,11432,,,,,,,,,,,11789,,,,,,,,10597,,
67,12245,,,,,,,,,,,,,,14220,,,,,,,,,,,,,14664,,11595,10114,,,13252,,,,,,,11433,,,,,,,,,,,11790,,,,,,,,10598,,
68,12246,,,,,,,,,,,,,,14221,,,,,,,,,,,,,14673,,11596,10115,,,13261,,,,,,,11434,,,,,,,,,,,11792,,,,,,,,10601,,
69,12247,,,,,,,,,,,,,,14222,,,,,,,,,,,,,14683,,11597,10116,,,13290,,,,,,,11435,,,,,,,,,,,11794,,,,,,,,10602,,
70,12248,,,,,,,,,,,,,,14223,,,,,,,,,,,,,14692,,11598,10117,,,,,,,,,,11436,,,,,,,,,,,11795,,,,,,,,10603,,
71,12249,,,,,,,,,,,,,,14224,,,,,,,,,,,,,14694,,11599,10118,,,,,,,,,,11439,,,,,,,,,,,11796,,,,,,,,10604,,
72,12250,,,,,,,,,,,,,,14225,,,,,,,,,,,,,,,11701,10119,,,,,,,,,,11451,,,,,,,,,,,11798,,,,,,,,10605,,
73,12252,,,,,,,,,,,,,,14226,,,,,,,,,,,,,,,11702,10120,,,,,,,,,,11499,,,,,,,,,,,11901,,,,,,,,10606,,
74,12255,,,,,,,,,,,,,,14227,,,,,,,,,,,,,,,11709,10121,,,,,,,,,,11559,,,,,,,,,,,11930,,,,,,,,10607,,
75,12256,,,,,,,,,,,,,,14228,,,,,,,,,,,,,,,11710,10122,,,,,,,,,,11580,,,,,,,,,,,11931,,,,,,,,10610,,
76,12257,,,,,,,,,,,,,,14231,,,,,,,,,,,,,,,11714,10123,,,,,,,,,,11690,,,,,,,,,,,11932,,,,,,,,10701,,
77,12260,,,,,,,,,,,,,,14233,,,,,,,,,,,,,,,11724,10124,,,,,,,,,,11691,,,,,,,,,,,11933,,,,,,,,10702,,
78,12261,,,,,,,,,,,,,,14240,,,,,,,,,,,,,,,11732,10125,,,,,,,,,,11692,,,,,,,,,,,11934,,,,,,,,10703,,
79,12288,,,,,,,,,,,,,,14241,,,,,,,,,,,,,,,11735,10126,,,,,,,,,,11693,,,,,,,,,,,11935,,,,,,,,10704,,
80,12303,,,,,,,,,,,,,,14260,,,,,,,,,,,,,,,11736,10128,,,,,,,,,,11694,,,,,,,,,,,11937,,,,,,,,10705,,
81,12304,,,,,,,,,,,,,,14261,,,,,,,,,,,,,,,11743,10129,,,,,,,,,,11695,,,,,,,,,,,11939,,,,,,,,10706,,
82,12306,,,,,,,,,,,,,,14263,,,,,,,,,,,,,,,11753,10130,,,,,,,,,,11697,,,,,,,,,,,11940,,,,,,,,10707,,
83,12309,,,,,,,,,,,,,,14264,,,,,,,,,,,,,,,11756,10131,,,,,,,,,,,,,,,,,,,,,11941,,,,,,,,10708,,
84,12460,,,,,,,,,,,,,,14265,,,,,,,,,,,,,,,11758,10132,,,,,,,,,,,,,,,,,,,,,11942,,,,,,,,10709,,
85,12469,,,,,,,,,,,,,,14267,,,,,,,,,,,,,,,11762,10133,,,,,,,,,,,,,,,,,,,,,11944,,,,,,,,10710,,
86,,,,,,,,,,,,,,,14269,,,,,,,,,,,,,,,11765,10138,,,,,,,,,,,,,,,,,,,,,11946,,,,,,,,10801,,
87,,,,,,,,,,,,,,,14270,,,,,,,,,,,,,,,11771,10149,,,,,,,,,,,,,,,,,,,,,11947,,,,,,,,10802,,
88,,,,,,,,,,,,,,,14272,,,,,,,,,,,,,,,11773,10150,,,,,,,,,,,,,,,,,,,,,11948,,,,,,,,10803,,
89,,,,,,,,,,,,,,,14273,,,,,,,,,,,,,,,11774,10151,,,,,,,,,,,,,,,,,,,,,11949,,,,,,,,10804,,
90,,,,,,,,,,,,,,,14276,,,,,,,,,,,,,,,11783,10152,,,,,,,,,,,,,,,,,,,,,11950,,,,,,,,10805,,
91,,,,,,,,,,,,,,,14280,,,,,,,,,,,,,,,11791,10153,,,,,,,,,,,,,,,,,,,,,11951,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11793,10154,,,,,,,,,,,,,,,,,,,,,11952,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11797,10155,,,,,,,,,,,,,,,,,,,,,11953,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11801,10156,,,,,,,,,,,,,,,,,,,,,11954,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11802,10157,,,,,,,,,,,,,,,,,,,,,11955,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11803,10158,,,,,,,,,,,,,,,,,,,,,11956,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11804,10159,,,,,,,,,,,,,,,,,,,,,11957,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11815,10160,,,,,,,,,,,,,,,,,,,,,11958,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11854,10161,,,,,,,,,,,,,,,,,,,,,11959,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11855,10162,,,,,,,,,,,,,,,,,,,,,11960,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10163,,,,,,,,,,,,,,,,,,,,,11961,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10164,,,,,,,,,,,,,,,,,,,,,11962,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10165,,,,,,,,,,,,,,,,,,,,,11963,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10166,,,,,,,,,,,,,,,,,,,,,11964,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10167,,,,,,,,,,,,,,,,,,,,,11965,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10168,,,,,,,,,,,,,,,,,,,,,11967,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10169,,,,,,,,,,,,,,,,,,,,,11968,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10170,,,,,,,,,,,,,,,,,,,,,11969,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10171,,,,,,,,,,,,,,,,,,,,,11970,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10172,,,,,,,,,,,,,,,,,,,,,11971,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10173,,,,,,,,,,,,,,,,,,,,,11972,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10174,,,,,,,,,,,,,,,,,,,,,11973,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10175,,,,,,,,,,,,,,,,,,,,,11975,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10176,,,,,,,,,,,,,,,,,,,,,11976,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10177,,,,,,,,,,,,,,,,,,,,,11977,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10178,,,,,,,,,,,,,,,,,,,,,11978,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10179,,,,,,,,,,,,,,,,,,,,,11980,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
